name,sku,category,unit,description,unit_price,promo_price,offer_is_active,image_url
Amendoim Japonês 30x70g,KUK-AMN-JAP-70,Snacks,cx,Amendoim tipo japonês Kuky 30 pacotes de 70g,0,0,true,
Amendoim Colorido 30x70g,KUK-AMN-COR-70,Snacks,cx,Amendoim confeitado colorido Kuky 30 pacotes de 70g,0,0,true,
Amendoim Chocolate 30x70g,KUK-AMN-CHO-70,Snacks,cx,Amendoim confeitado chocolate Kuky 30 pacotes de 70g,0,0,true,
Kuky Goma Festa 30x70g,KUK-GOM-FES-70,Balas/Gomas,cx,Kuky Goma Festa sortida 30 pacotes de 70g,0,0,true,
Kuky Delikuky Jelly Beans 30x70g,KUK-JEL-FES-70,Balas/Gomas,cx,Kuky Delikuky Jelly Beans sortidas 30 pacotes de 70g,0,0,true,
Gelatina Go Jelly Amora 12x70g,RIC-GEL-AMO-70,Gelatinas,cx,Gelatina Go Jelly sabor Amora 12 pacotes de 70g,0,0,true,
Gelatina Go Jelly Banana 12x70g,RIC-GEL-BAN-70,Gelatinas,cx,Gelatina Go Jelly sabor Banana 12 pacotes de 70g,0,0,true,
Gelatina Go Jelly Morango 12x70g,RIC-GEL-MOR-70,Gelatinas,cx,Gelatina Go Jelly sabor Morango 12 pacotes de 70g,0,0,true,
Gelatina Go Jelly Beijinho Doce 12x70g,RIC-GEL-BEI-70,Gelatinas,cx,Gelatina Go Jelly sabor Beijinho Doce 12 pacotes de 70g,0,0,true,
Gelatina Go Jelly Dentadura 12x70g,RIC-GEL-DEN-70,Gelatinas,cx,Gelatina Go Jelly Dentadura 12 pacotes de 70g,0,0,true,
